"","intercept","gop","dwnom"
"chesapeak.bay",-11.5915642274475,4.20488157291022,-5.09444181365239
"time.million",-10.3658887452442,0,0
"servic.million",-11.4714260402962,2.20348125704029,-3.3729381887072
"program.elimin",-10.4589791683102,0,0
"resolut.offer",-10.9871882998943,0.867398839271897,0
"congress.provid",-9.23621366947906,0.845982566169839,-0.921255771750832
"heart.soul",-10.0223974816067,-2.13884511046619,2.2738615340502
"war.peopl",-10.4113511193209,0,0
"key.compon",-10.0616773708412,0,0
"allow.speak",-10.5349650752881,0,0
"foreign.polici",-7.9675658450573,-0.326194512793402,0
"crisi.crisi",-10.8340537620891,0,-0.385063273807382
"abl.particip",-10.201400949195,-1.5458637631979,1.94006150391881
"cancer.research",-9.8359775396177,0,-0.399412197632625
"amend.strike",-9.99625101638703,0.391884507899445,0
"chanc.success",-9.87469201305568,-0.825124678689554,1.52458551053919
"third.tour",-11.1253830125535,0.351941865917367,0
"effort.includ",-10.5450569921821,0,-0.886556914765779
"medicar.drug",-9.68042643900891,0,0.539434114463801
"oil.pipelin",-11.0614457356151,0.56408270572781,0
"failur.congress",-11.936369117845,2.15343013326329,0
"junior.senat",-9.8775664612345,0.392814586125013,0
"administr.cost",-10.2133705518675,0,-0.211960590569736
"els.countri",-9.18949509308977,-4.52345394347107,4.29652723714132
"friend.yield",-9.96898974079788,0.00254523544442199,0
"help.presid",-10.5496499487901,0,-0.705094551133861
"troop.command",-11.0832132301874,0.00383394362521448,0
"home.washington",-8.65349911642983,-4.55888263481828,2.98305817667869
"fourth.amend",-11.3567984816757,1.7865771041585,-1.49440586975808
"commend.colleagu",-9.08975960605945,0,-0.189181501863122
"servic.public",-10.9718498393371,0,-0.738902013969821
"nation.allow",-10.805255405028,0,0
"cut.medicar",-9.68391486528236,0,0
"peru.colombia",-10.3250937117054,0.294413851265915,0
"water.project",-9.24927068460789,-2.6597163993241,2.50194662402146
"yield.balanc",-8.83033403283994,0,1.43733337042437
"chairman.record",-9.57431649582925,-1.06630126112081,1.20838866156777
"dead.arriv",-11.0727575271088,0,1.2152389299182
"talk.moment",-10.3253072114103,-0.266180370117247,0
"labor.statist",-10.5349650752881,0,0
"economi.don",-10.8826249718277,0,0.0796447148194244
"physician.countri",-10.585131198515,-3.80126185118114,5.9219629420781
"straight.month",-10.3946856221282,-1.60748670084699,2.03395916211885
"respect.respect",-11.0815087816562,0,0
"america.produc",-11.3208188484549,1.60733839216483,0
"money.re",-8.96448587755482,-4.49141551783994,4.99304001967073
"individu.person",-11.1336023932321,0,0.0756280299151715
"access.capit",-10.4235554515824,-0.810711174080737,0
"negat.affect",-11.0370570190853,0,0
"fund.american",-11.0162434430514,0,0.231774581926216
"do.senat",-11.2362035221477,0,0.699305551444958
"drive.cost",-9.89220949130533,0,1.17344446110011
"start.call",-11.1198454919586,0,-0.269240725291395
"busi.protect",-11.17765095483,0.10845662401738,0
"chair.thank",-11.0742461060131,0,-0.346976521962966
"strategi.presid",-9.94871042563216,-2.48435432296695,1.41455567896106
"peopl.promis",-10.5271449457018,-1.38862400050148,2.19286748898673
"third.senat",-10.8959236447422,-0.23746618129669,0
"ensur.peopl",-9.83512005840371,-0.860712200959202,1.08903132892497
"heard.colleagu",-9.82874581316081,0,0
"chang.chang",-9.52284950855848,0.270887465832026,0
"largest.deficit",-8.2943649184694,-7.08921204735243,5.38323431198638
"finish.bill",-9.72264870024514,-1.12015283270305,0
"insid.trade",-12.6647367565061,3.81174609784862,-4.28081762712722
"american.dream",-8.40666910712308,0,-0.991101990285598
"servic.provid",-9.18597415945075,1.6046244223367,-1.35414716501455
"commiss.studi",-10.384978674086,-0.469492505019229,0.460434835980642
"militari.provid",-10.9190767721926,0.240162314891541,0
"lot.talk",-8.7314253272381,-2.12731035591816,2.4041084143071
"fox.news",-11.7652044350864,0,2.0355104487245
"fiscal.saniti",-10.0853628710591,-1.83314922276162,1.90995012842334
"near.term",-9.16631392364051,-1.53766309662396,1.85154356008201
"shale.oil",-12.0308271074318,2.73502872076444,0
"care.fund",-8.65809463926132,-5.01903159748093,4.09994300197233
"educ.labor",-8.92069443254452,1.16090773783669,-1.30818994146578
"job.lost",-9.16513940050756,0,-0.932223805646745
"america.increas",-10.676043673548,0,0
"emiss.greenhous",-10.9553078186391,0,-0.548604861260985
"agre.result",-9.58439510435116,-3.58949688727902,3.40561237918473
"billion.invest",-9.84823811932827,-0.467046433945613,0
"govern.revenu",-12.4993358716526,3.57946895893558,-0.869875606664756
"percent.spend",-10.964938618934,0,0.614233194370167
"act.govern",-12.2629347114498,2.85566893084156,-4.20919397941183
"law.chang",-10.050569931035,0,0.226965536929295
"unit.tri",-10.8403467248393,0,0
"rise.health",-10.4549873977981,0,-0.447212196961059
"incom.level",-10.0594265787761,0,0.164563133461698
"amend.bill",-8.79934030500137,0.51475762753052,0
"agreement.nafta",-12.1111043215045,2.27612659581235,-4.19094372509851
"durabl.medic",-14.0937059864163,6.09847898762919,-4.85757709368505
"trade.practic",-12.1862121383533,2.87171878200961,-4.87380059159797
"republican.amend",-11.2892679605065,1.84477437093592,-1.14645326868829
"educ.veteran",-8.32156583276496,-14.13373755028,6.69023773057953
"honor.respect",-10.9223978554569,0,0.735182451210692
"crucial.role",-10.7144386276878,-0.524597828547138,0
"countri.recent",-10.3439098385254,0,0
"twin.tower",-10.2469661477497,-3.38044291006734,4.65203862634837
"clinton.senat",-13.3342417125141,5.70468155854155,-9.42986913053694
"chart.happen",-10.5994319528369,-1.32943328186593,1.69038170848401
"tax.amt",-10.0183841627018,0,-0.591811558025201
"taxpay.bail",-10.159081417736,-2.28449289083981,1.86339521802719
"plan.plan",-9.24647204502593,0,0.597668909860831
"san.lui",-7.71047940508886,-8.06505720998009,7.79058527280967
"thank.gentlewoman",-8.26519071878204,-2.03889287726592,1.79207431300781
"american.cultur",-10.8620219680082,0,0.231202647072674
