"","intercept","gop","dwnom"
"protect.children",-8.41955406318355,0,0
"bipartisan.solut",-9.37501392522608,0,-0.798836760878663
"western.york",-8.9077928963035,-3.49907190680247,3.00405602693869
"leadership.thank",-8.98783090876061,-1.2579557545177,1.58284508241167
"pilot.fli",-10.424897652823,1.3518820049492,-2.07796641653519
"john.wilk",-32.1263323464024,0,28.2972808956271
"futur.trade",-11.005676846464,2.71555384725785,-2.55886932590674
"prevent.public",-9.13909814149835,-1.39991388890472,1.59263152633853
"increas.transpar",-9.57453300748776,0,1.44587455732464
"tenth.percent",-11.772199361074,4.8141234595771,-6.646975914594
"administr.request",-11.4741997503168,4.22003706880704,-4.02946466928029
"tough.time",-8.89602087338015,-3.23519974524117,3.25394666777821
"believ.america",-7.87254033568564,-4.43894072950338,4.00797949499356
"articl.goe",-9.61892781116132,-2.28326800630059,3.74650836206249
"restrict.iran",-10.2281337561142,0.565581099475638,0
"peopl.love",-9.6046540019954,-0.970312424138602,1.23050346450513
"dollar.deficit",-10.7980320980493,0,2.54941123842738
"iran.recogn",-9.86882061230457,0,0.230800489764821
"access.market",-7.45987433881095,-5.63207126292434,5.22109443263127
"america.famili",-8.17835583066221,-3.83585395078237,2.13745148566811
"leadership.committe",-9.86152290204377,0,0.521805465423043
"northern.california",-7.79897036848845,-5.65214244533449,5.36448333325868
"senat.support",-8.74112223748785,0,-0.24533925915723
"provid.law",-11.5117936477926,3.05524779574184,-1.37401116053675
"forward.time",-9.93334843941589,0,0.0132575769160063
"talk.budget",-9.2775529718203,-0.937592843172185,1.15146340429229
"chang.world",-9.21908164730207,0,0
"republican.democrat",-6.75072766943623,-0.526635840693825,0.817440624199206
"senat.warner",-12.5302859631455,5.68710799432442,-4.16035528551309
"bipartisan.effort",-8.06556253721674,0,-0.176928088845833
"companion.legisl",-10.8368793278347,2.30458907154509,-1.16220752974838
"serv.chairman",-9.7551669378273,0,0
"congress.time",-10.1320038117535,2.53034469964185,-2.38399274375135
"rollcal.vote",-5.50360579605201,-4.90249216290114,3.5048764713829
"prioriti.republican",-9.53019989014403,-1.49578340481164,0
"account.offic",-9.37973501246009,2.97588162358789,-2.22266900569533
"am.thank",-8.84111098150557,0,0.434432421821176
"support.administr",-9.83325435838731,0,-0.370135680352202
"crumbl.infrastructur",-9.43575290632354,0,-1.82180716641586
"proud.origin",-10.6328455425263,2.02430814730387,-2.31403355428603
"korean.war",-8.1314493839261,-2.1959025230298,2.03828331519623
"strong.messag",-10.5685836150518,2.84726921909733,-2.59233623393161
"peopl.lose",-10.2209978485001,3.00356670847799,-4.06286754519569
"futur.nation",-8.24694177534552,-3.67058181104453,2.62386992542242
"sanctiti.life",-14.8930169276135,4.69648199919938,2.06143185058135
"continu.oper",-11.3551014068405,3.72768724617552,-2.70292983496912
"foreign.market",-10.3226729490587,0.462380718570882,0
"citizen.countri",-8.44049143151338,-2.45897896365307,1.73662469169909
"caus.climat",-10.1571592489922,0,-0.906324853166163
"defens.depart",-9.25018366873009,0.673492801935275,0
"negoti.process",-10.6067589973923,1.85503000128841,-1.55131190986486
"appoint.suprem",-9.51170589831023,0,0.631157957371691
"agreement.congress",-10.526387514765,2.9840621949015,-2.82666970635728
"justic.scalia",-6.77935551460108,-2.82852638301314,2.41433302156316
"world.time",-9.69865472756396,0,0
"deserv.support",-10.3385290117769,1.1419468093995,-1.25034358969096
"moment.senat",-10.0295914489965,1.07250418424856,-2.04684658748821
"record.vote",-7.73669455516187,-2.91315036576802,1.6291850199566
"nuclear.site",-9.23079381904886,-1.08932321060078,1.41933391595719
"trade.polici",-8.36876942757205,-0.705670724415449,-1.06195220069178
"regim.iran",-7.78826003070409,-6.25474500645012,5.88522883922234
"day.ahead",-8.84891555146069,-2.42999225163478,1.93343550486757
"continu.debat",-9.78384334453363,0.11700790153201,0
"branch.govern",-7.86848285359254,-1.07863453752404,2.18362531258133
"immigr.polici",-7.95063515263807,-1.54969986562044,1.41072929711252
"deliv.nuclear",-11.1063754578441,2.92378369905149,-1.09688754463542
"leav.million",-10.677440542363,1.36233537816389,-2.50690419323731
"taxpay.pay",-9.78195232390809,0.394032050805837,0
"competit.global",-10.2653696633981,2.14231101982147,-1.69509062757817
"agricultur.export",-6.81159647296533,-8.62391138784938,7.33246320191033
"senat.king",-10.9265742178635,2.99263070542064,-2.76783825669154
