speaker,party,dwnom
Mr WILSON of South Carolina,1.0,0.811
Mr NUNES,1.0,0.693
Mr TIBERI,1.0,0.678
Mr CASEY,0.0,-0.342
Mr LAMBORN,1.0,0.853
Mr POSEY,1.0,0.774
Mr COSTA,0.0,-0.166
Mr ROSS,1.0,0.776
Mrs BUSTOS,0.0,-0.201
Ms CLARK of Massachusetts,0.0,-0.545
Mr FARR,0.0,-0.471
Ms JENKINS of Kansas,1.0,0.822
Ms WARREN,0.0,-0.702
Mr NEAL,0.0,-0.444
Mrs ROBY,1.0,0.435
Ms MENG,0.0,-0.375
Mr YOUNG of Indiana,1.0,0.71
Ms SINEMA,0.0,-0.11
Mr CLAWSON of Florida,1.0,0.95
Mr HECK of Nevada,1.0,0.672
Mr HUNTER,1.0,0.732
Mr KING of New York,1.0,0.467
Mr ROBERTS,1.0,0.655
Mrs GILLIBRAND,0.0,-0.475
Mr GOWDY,1.0,0.904
Mr MULVANEY,1.0,1.0
Mr PERRY,1.0,0.85
Mr PITTS,1.0,0.832
Mr WEBSTER of Florida,1.0,0.701
Mr HATCH,1.0,0.39
Mrs SHAHEEN,0.0,-0.324
Mr HUIZENGA of Michigan,1.0,0.911
Mr JOHNSON,1.0,0.687
Ms BALDWIN,0.0,-0.487
Mr SERRANO,0.0,-0.505
Mrs ELLMERS,1.0,0.587
Mr NADLER,0.0,-0.489
Mr TURNER,1.0,0.487
Mr MURPHY of Florida,0.0,-0.139
Mr PALAZZO,1.0,0.644
Mr GRAVES of Missouri,1.0,0.792
Mr KING of Iowa,1.0,0.728
Mr FARENTHOLD,1.0,0.75
Mr HEINRICH,0.0,-0.304
Mr COHEN,0.0,-0.424
Mr BOOZMAN,1.0,0.566
Mr DENHAM,1.0,0.661
Mr BRAT,1.0,0.951
Mrs MILLER of Michigan,1.0,0.719
Mr LONG,1.0,0.754
Mr HOEVEN,1.0,0.43
Mr HELLER,1.0,0.409
Mr MERKLEY,0.0,-0.419
Ms STABENOW,0.0,-0.374
Mr RUSH,0.0,-0.406
Mr CARNEY,0.0,-0.252
Mr JORDAN,1.0,0.921
Mrs FEINSTEIN,0.0,-0.351
Mr ISAKSON,1.0,0.427
Mr POLIS,0.0,-0.339
Ms TSONGAS,0.0,-0.413
Ms WILSON of South Carolina,1.0,0.811
Ms ESTY,0.0,-0.313
Ms BROWNLEY of California,0.0,-0.269
Ms BASS,0.0,-0.513
Mr McCAUL,1.0,0.717
Mr CHABOT,1.0,0.851
Ms KLOBUCHAR,0.0,-0.277
Mr COLE,1.0,0.417
Mr BARTON,1.0,0.725
Mr WEBER of Texas,1.0,0.956
Mr PEARCE,1.0,0.793
Mr MULVANEY of South Carolina,1.0,1.0
Mr SCHRADER,0.0,-0.238
Mr REED,0.0,0.0
Mr ELLISON,0.0,-0.556
Mr SCHIFF,0.0,-0.357
Mr RICE of South Carolina,1.0,0.84
Mr NOLAN,0.0,-0.407
Mr RYAN of Ohio,0.0,-0.396
Mr JEFFRIES,0.0,-0.448
Mr CRAWFORD,1.0,0.477
Ms FOXX,1.0,0.967
Mr KILDEE,0.0,-0.411
Mr ROTHFUS,1.0,0.661
Mr ROKITA,1.0,0.843
Mr HUFFMAN,0.0,-0.461
Mr RENACCI,1.0,0.714
Mr SCOTT of Virginia,0.0,-0.411
Mr CLAY,0.0,-0.466
Mr QUIGLEY,0.0,-0.334
Mr LOWENTHAL,0.0,-0.511
Mrs BLACKBURN,1.0,0.806
Mr PRICE of North Carolina,0.0,-0.417
Mr CORNYN,1.0,0.603
Mr YOUNG of Alaska,1.0,0.511
Ms GRANGER,1.0,0.613
Mr SARBANES,0.0,-0.419
Mr NORCROSS,0.0,-0.367
Mr LANGEVIN,0.0,-0.348
Mr VITTER,1.0,0.67
Ms KAPTUR,0.0,-0.412
Mrs BLACK,1.0,0.728
Mr CRENSHAW,1.0,0.457
Mr BOOKER,0.0,-0.472
Mr GUTHRIE,1.0,0.555
Mr COONS,0.0,-0.336
Mr LYNCH,0.0,-0.351
Mr BERA,0.0,-0.203
Mr BENNET,0.0,-0.256
Mr GARAMENDI,0.0,-0.332
Mr BROOKS of Alabama,1.0,0.827
Ms SEWELL of Alabama,0.0,-0.321
Mr GRIJALVA,0.0,-0.577
Mr DUFFY,1.0,0.834
Mr MURPHY of Pennsylvania,1.0,0.452
Mrs CAPPS,0.0,-0.428
Mr COFFMAN,1.0,0.827
Mr SHERMAN,0.0,-0.379
Mr WICKER,1.0,0.483
Mrs DAVIS of California,0.0,-0.346
Mr GRAYSON,0.0,-0.421
Mr WELCH,0.0,-0.466
Ms TITUS,0.0,-0.312
Mr SMITH of Texas,1.0,0.612
Mr SCHUMER,0.0,-0.414
Mr GRIFFITH,1.0,0.867
Mr SANDERS,0.0,-0.717
Mr RUIZ,0.0,-0.206
Mr WALZ,0.0,-0.275
Mr YODER,1.0,0.848
Mr MICA,1.0,0.699
Mr DELANEY,0.0,-0.281
Ms STUTZMAN,1.0,0.945
Mr ISRAEL,0.0,-0.354
Mr INHOFE,1.0,0.774
Mr KIND,0.0,-0.3
Mr SMITH of Nebraska,1.0,0.705
Mr HUELSKAMP,1.0,0.996
Mr PASCRELL,0.0,-0.404
Mr ROSKAM,1.0,0.687
Mr SESSIONS,0.0,0.0
Mr CRAMER,1.0,0.478
Mr ROE of Tennessee,1.0,0.742
Mr HINOJOSA,0.0,-0.343
Mr SHIMKUS,1.0,0.624
Mr KING,0.0,-0.23
Mr TOOMEY,1.0,0.566
Mr OLSON,1.0,0.686
Mr CASTRO of Texas,0.0,-0.382
Mr CARTWRIGHT,0.0,-0.441
Mr CORKER,1.0,0.401
Mr DUNCAN of Tennessee,1.0,1.108
Mr LATTA,1.0,0.714
Mr BURGESS,1.0,1.017
Mr REID,0.0,-0.41
Mr ROONEY of Florida,1.0,0.752
Mr SIRES,0.0,-0.37
Mr WOODALL,1.0,0.976
Mr WYDEN,0.0,-0.37
Mr SANFORD,1.0,0.986
Mr BISHOP of Georgia,0.0,-0.235
Mr BROWN,0.0,-0.49
Mr WILLIAMS,1.0,0.776
Mr KELLY of Pennsylvania,1.0,0.454
Mr FRANKEN,0.0,-0.466
Mr HASTINGS,1.0,0.56
Mr LUCAS,1.0,0.495
Mr RIBBLE,1.0,0.929
Mr SCHATZ,0.0,-0.5
Ms SPEIER,0.0,-0.468
Mr CALVERT,1.0,0.551
Mr JOHNSON of Georgia,0.0,-0.425
Mr CAPUANO,0.0,-0.529
Mr SPEIER,0.0,-0.468
Mr PERLMUTTER,0.0,-0.279
Mr YARMUTH,0.0,-0.382
Mr TONKO,0.0,-0.427
Ms WILSON of Florida,0.0,-0.431
Mr CARSON of Indiana,0.0,-0.394
Ms LEE,0.0,-0.652
Mrs BROOKS of Indiana,1.0,0.634
Mr AMASH,1.0,0.997
Mr DEUTCH,0.0,-0.411
Mr BARR,1.0,0.72
Mr MESSER,1.0,0.792
Mr MULLIN,1.0,0.679
Mr WALBERG,1.0,0.795
Mr POE of Texas,1.0,0.957
Mr LARSEN of Washington,0.0,-0.336
Mr REED,1.0,0.642
Ms HIRONO,0.0,-0.547
Mr PETERSON,0.0,-0.175
Mrs NOEM,1.0,0.521
Mr LUETKEMEYER,1.0,0.661
Mr RANGEL,0.0,-0.402
Mr BOUSTANY,1.0,0.694
Mr ENZI,1.0,0.715
Mr MANCHIN,0.0,-0.087
Mr GRAVES of Georgia,1.0,0.999
Mr KLINE,1.0,0.734
Mr PORTMAN,1.0,0.442
Mr MORAN,1.0,0.617
Mr SIMPSON,1.0,0.399
Ms LOFGREN,0.0,-0.412
Mr SWALWELL of California,0.0,-0.367
Mrs HARTZLER,1.0,0.715
Mr RICHMOND,0.0,-0.409
Ms MURRAY,0.0,-0.369
Mr COURTNEY,0.0,-0.329
Mr HIGGINS,0.0,-0.384
Mr MARCHANT,1.0,0.935
Mr SCHWEIKERT,1.0,0.892
Mr BECERRA,0.0,-0.446
Mr BARLETTA,1.0,0.4
Mr CUMMINGS,0.0,-0.425
Mr CARDENAS,0.0,-0.354
Mr THOMPSON of Mississippi,0.0,-0.429
Ms EDWARDS,0.0,-0.562
Mr RUBIO,1.0,0.582
Mr ADERHOLT,1.0,0.454
Mr CONAWAY,1.0,0.836
Ms HAHN,0.0,-0.452
Mr KAINE,0.0,-0.307
Mr GRAHAM,1.0,0.4
