,name,statenm,party,dwnominate,chamber
8958,OBAMA,USA,100,-0.364,senate
8959,SESSIONS,ALABAMA,200,0.6729999999999999,senate
8960,SHELBY,ALABAMA,200,0.7,senate
8961,MURKOWSKI,ALASKA,200,0.107,senate
8962,BEGICH,ALASKA,100,-0.272,senate
8963,FLAKE,ARIZONA,200,0.40399999999999997,senate
8964,MCCAIN,ARIZONA,200,0.397,senate
8965,PRYOR,ARKANSA,100,-0.19899999999999998,senate
8966,BOOZMAN,ARKANSA,200,0.5660000000000001,senate
8967,BOXER,CALIFOR,100,-0.46799999999999997,senate
8968,FEINSTEIN,CALIFOR,100,-0.35100000000000003,senate
8969,UDALL,COLORAD,100,-0.27699999999999997,senate
8970,BENNET,COLORAD,100,-0.256,senate
8971,BLUMENTHAL,CONNECT,100,-0.455,senate
8972,MURPHY,CONNECT,100,-0.5489999999999999,senate
8973,COONS,DELAWAR,100,-0.336,senate
8974,CARPER,DELAWAR,100,-0.264,senate
8975,RUBIO,FLORIDA,200,0.5820000000000001,senate
8976,NELSON,FLORIDA,100,-0.258,senate
8977,CHAMBLISS,GEORGIA,200,0.47600000000000003,senate
8978,ISAKSON,GEORGIA,200,0.42700000000000005,senate
8979,HIRONO,HAWAII,100,-0.547,senate
8980,SCHATZ,HAWAII,100,-0.5,senate
8981,RISCH,IDAHO,200,0.792,senate
8982,CRAPO,IDAHO,200,0.805,senate
8983,DURBIN,ILLINOI,100,-0.48,senate
8984,KIRK,ILLINOI,200,0.324,senate
8985,COATS,INDIANA,200,0.478,senate
8986,DONNELLY,INDIANA,100,-0.22399999999999998,senate
8987,GRASSLEY,IOWA,200,0.513,senate
8988,HARKIN,IOWA,100,-0.493,senate
8989,MORAN,KANSAS,200,0.617,senate
8990,ROBERTS,KANSAS,200,0.655,senate
8991,PAUL,KENTUCK,200,0.951,senate
8992,MCCONNELL,KENTUCK,200,0.5720000000000001,senate
8993,VITTER,LOUISIA,200,0.67,senate
8994,LANDRIEU,LOUISIA,100,-0.231,senate
8995,COLLINS,MAINE,200,0.037000000000000005,senate
8996,KING,MAINE,328,-0.23,senate
8997,MIKULSKI,MARYLAN,100,-0.405,senate
8998,CARDIN,MARYLAN,100,-0.436,senate
8999,WARREN,MASSACH,100,-0.7020000000000001,senate
9000,COWAN,MASSACH,100,-0.442,senate
9001,MARKEY,MASSACH,100,-0.54,senate
9002,STABENOW,MICHIGA,100,-0.374,senate
9003,LEVIN  CARL,MICHIGA,100,-0.434,senate
9004,KLOBUCHAR,MINNESO,100,-0.27699999999999997,senate
9005,FRANKEN,MINNESO,100,-0.466,senate
9006,COCHRAN,MISSISS,200,0.377,senate
9007,WICKER,MISSISS,200,0.483,senate
9008,MCCASKILL,MISSOUR,100,-0.261,senate
9009,BLUNT,MISSOUR,200,0.507,senate
9010,BAUCUS,MONTANA,100,-0.184,senate
9011,WALSH,MONTANA,100,-0.316,senate
